episode,episode_reward,episode_length
1,0.1698736250400543,3
2,-0.5,1
3,0.3822274804115295,4
4,55.39623248577118,157
5,0.3350968658924103,4
6,43.19118770956993,125
7,0.3421249091625213,4
8,35.143549740314484,100
9,32.14988508820534,97
10,0.3783658444881439,4
11,-0.5,1
12,0.3348958492279053,4
13,0.0594475269317626,3
14,43.52553674578667,125
15,41.52749663591385,124
16,45.50230821967125,132
17,0.4072347283363342,4
18,41.85615947842598,120
19,-0.5,1
20,-0.1553258895874023,2
21,0.1848104596138,3
22,-0.5,1
23,47.854232877492905,132
24,-0.5,1
25,43.58299469947815,126
26,38.04080030322075,110
27,49.55979114770889,144
28,37.43557819724083,111
29,45.50587925314903,134
30,39.074626833200455,117
31,0.6921224594116211,5
32,45.49987080693245,129
33,48.03809115290642,139
34,43.28509271144867,133
35,46.032248854637146,136
36,44.11800807714462,123
37,0.0379136502742767,3
38,38.04483896493912,111
39,41.68673360347748,116
40,-0.1568788588047027,2
41,1.2497017681598663,7
42,-0.5,1
43,-0.5,1
44,48.27032154798508,133
45,-0.5,1
46,-0.5,1
47,25.49733349680901,75
48,54.6026163995266,159
49,-0.5,1
50,0.4175401329994201,4
51,1.6638346910476685,8
52,0.0679788589477539,3
53,43.19327059388161,128
54,-0.5,1
55,41.50104212760925,124
56,0.7930841445922852,5
57,29.32950308918953,88
58,36.800309509038925,108
59,-0.1593742370605468,2
60,39.09729120135307,107
61,37.2324837744236,109
62,-0.1920613348484039,2
63,1.3249903619289398,7
64,1.991041034460068,9
65,38.83657768368721,118
66,40.08383351564407,109
67,-0.5,1
68,-0.5,1
69,0.0711822509765625,3
70,40.04224893450737,117
71,-0.5,1
72,0.3363813757896423,4
73,38.04272794723511,112
74,40.15047961473465,119
75,43.418666422367096,126
76,42.20700097084045,124
77,48.92336225509644,143
78,39.646910935640335,115
79,0.6807127594947815,5
80,-0.5,1
81,43.6200110912323,129
82,36.87131297588349,107
83,34.754635006189346,95
84,0.9797160625457764,6
85,0.6620972752571106,5
86,6.462161183357239,23
87,0.9108283519744872,6
88,0.0056255459785461,3
89,46.115924060344696,130
90,41.95384579896927,119
91,0.3711254596710205,4
92,-0.5,1
93,0.9633883535861968,6
94,30.83130905032158,91
95,-0.1572243571281433,2
96,40.65270999073982,120
97,1.1629145741462708,6
98,0.5127028524875641,4
99,37.62940675020218,107
100,41.82410550117493,116
101,-0.5,1
102,-0.5,1
103,41.80426973104477,116
104,-0.5,1
105,42.0199710726738,121
106,0.8392022848129272,5
107,42.24429774284363,120
108,38.02134448289871,109
109,39.171678990125656,118
110,43.64231178164482,128
111,41.73543247580528,125
